day,w_l,ot,rec,location,opp,TeamPoints,OppPoints,Firsts,TotYdO,PassYO,RushYO,TeamTOs,FirstsA,TotYdA,PassYA,RushYA,ForcedTOs,Week
September 12,W,0,1-0,Away,Detroit Lions,41,33,21,442,311,131,2,31,430,314,116,1,1
September 19,W,0,2-0,Away,Philadelphia Eagles,17,11,23,306,189,117,0,18,328,177,151,0,2
September 26,L,0,2-1,Home,Green Bay Packers,28,30,25,298,231,67,2,21,353,253,100,0,3
October 3,L,0,2-2,Home,Seattle Seahawks,21,28,23,457,314,143,2,14,234,129,105,0,4
October 10,L,0,2-3,Away,Arizona Cardinals,10,17,19,338,186,152,1,20,304,210,94,1,5
0,0,0,0,Home,Bye Week,0,0,0,0,0,0,0,0,0,0,0,0,6
October 24,L,0,2-4,Home,Indianapolis Colts,18,30,13,280,169,111,4,17,295,147,148,2,7
October 31,W,0,3-4,Away,Chicago Bears,33,22,21,467,322,145,0,22,324,148,176,1,8
November 7,L,0,3-5,Home,Arizona Cardinals,17,31,22,337,298,39,3,22,437,274,163,0,9
November 15,W,0,4-5,Home,Los Angeles Rams,31,10,20,335,179,156,0,16,278,226,52,2,10
November 21,W,0,5-5,Away,Jacksonville Jaguars,30,10,25,333,162,171,0,14,200,146,54,2,11
November 28,W,0,6-5,Home,Minnesota Vikings,34,26,23,423,215,208,1,17,323,256,67,2,12
December 5,L,0,6-6,Away,Seattle Seahawks,23,30,17,365,294,71,3,21,327,181,146,3,13
December 12,W,OT,7-6,Away,Cincinnati Bengals,26,23,21,355,255,100,0,22,397,311,86,2,14
December 19,W,0,8-6,Home,Atlanta Falcons,31,13,23,397,235,162,1,13,275,213,62,1,15
December 23,L,0,8-7,Away,Tennessee Titans,17,20,22,389,306,83,2,16,278,188,90,0,16
January 2,W,0,9-7,Home,Houston Texans,23,7,19,416,241,175,1,15,222,136,86,1,17
January 9,W,OT,10-7,Away,Los Angeles Rams,27,24,23,449,314,135,2,19,265,201,64,2,18
Playoffs,0,0,0,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,19
January 16,W,0,11-7,Away,Dallas Cowboys,23,17,21,341,172,169,1,20,307,230,77,1,20
January 22,W,0,12-7,Away,Green Bay Packers,13,10,12,212,106,106,1,14,263,196,67,1,21
January 30,0,0,0,Away,Los Angeles Rams,0,0,0,0,0,0,0,0,0,0,0,0,22
